team,pts_1q,pts_2q,pts_3q,pts_4q,pts_ot1,pts_ot2,pts_total,adversary,pts_adv_1q,pts_adv_2q,pts_adv_3q,pts_adv_4q,pts_ot1.1,pts_ot2.1,pts_adv_total,1q_winner,2q_winner,3q_winner,4q_winner,match_winner,home_away,month_day,year
SAS,25,34,27,29,0,0,115, MIA,29,28,27,27,0,0,111, MIA, SAS, MIA, SAS, SAS, away,  December 10,2022
MIA,29,28,27,27,0,0,111, SAS,25,34,27,29,0,0,115, MIA, SAS, MIA, SAS, SAS, home,  December 10,2022
BRK,40,29,26,41,0,0,136, IND,38,38,24,33,0,0,133, BRK, IND, BRK, BRK, BRK, away,  December 10,2022
IND,38,38,24,33,0,0,133, BRK,40,29,26,41,0,0,136, BRK, IND, BRK, BRK, BRK, home,  December 10,2022
LAC,28,32,26,28,0,0,114, WAS,29,34,21,23,0,0,107, WAS, WAS, LAC, LAC, LAC, away,  December 10,2022
WAS,29,34,21,23,0,0,107, LAC,28,32,26,28,0,0,114, WAS, WAS, LAC, LAC, LAC, home,  December 10,2022
OKC,22,24,26,30,0,0,102, CLE,28,31,23,28,0,0,110, CLE, CLE, OKC, OKC, CLE, away,  December 10,2022
CLE,28,31,23,28,0,0,110, OKC,22,24,26,30,0,0,102, CLE, CLE, OKC, OKC, CLE, home,  December 10,2022
DAL,30,23,32,30,0,0,115, CHI,40,42,31,31,0,0,144, CHI, CHI, DAL, CHI, CHI, away,  December 10,2022
CHI,40,42,31,31,0,0,144, DAL,30,23,32,30,0,0,115, CHI, CHI, DAL, CHI, CHI, home,  December 10,2022
BOS,25,38,20,24,0,0,107, GSW,33,35,27,28,0,0,123, GSW, BOS, GSW, GSW, GSW, away,  December 10,2022
GSW,33,35,27,28,0,0,123, BOS,25,38,20,24,0,0,107, GSW, BOS, GSW, GSW, GSW, home,  December 10,2022
UTA,26,26,38,20,0,0,110, DEN,28,33,31,23,0,0,115, DEN, DEN, UTA, DEN, DEN, away,  December 10,2022
DEN,28,33,31,23,0,0,115, UTA,26,26,38,20,0,0,110, DEN, DEN, UTA, DEN, DEN, home,  December 10,2022
MIN,27,39,26,26,0,0,118, POR,32,33,29,30,0,0,124, POR, MIN, POR, POR, POR, away,  December 10,2022
POR,32,33,29,30,0,0,124, MIN,27,39,26,26,0,0,118, POR, MIN, POR, POR, POR, home,  December 10,2022
PHO,36,22,35,24,7,0,124, NOP,29,28,41,19,12,0,129, PHO, NOP, NOP, PHO, NOP, away,  December 11,2022
NOP,29,28,41,19,12,0,129, PHO,36,22,35,24,7,0,124, PHO, NOP, NOP, PHO, NOP, home,  December 11,2022
